nodes, 15.0, edges, 31.0, epochs, -1, time, 195.1483759880066
nodes, 15.0, edges, 31.0, epochs, 0, time, 199.81627011299133
nodes, 15.0, edges, 31.0, epochs, 1, time, 200.5107283592224
nodes, 15.0, edges, 31.0, epochs, 2, time, 204.27025055885315
nodes, 15.0, edges, 31.0, epochs, 3, time, 203.9774706363678
nodes, 15.0, edges, 31.0, epochs, 4, time, 204.96416783332825
nodes, 15.0, edges, 31.0, epochs, 5, time, 204.6471552848816
nodes, 15.0, edges, 31.0, epochs, 6, time, 205.2130618095398
nodes, 15.0, edges, 31.0, epochs, 7, time, 205.81974697113037
nodes, 15.0, edges, 31.0, epochs, 8, time, 203.64820742607117
nodes, 15.0, edges, 31.0, epochs, 9, time, 203.97722697257996
nodes, 15.0, edges, 31.0, epochs, 10, time, 205.05098605155945
nodes, 15.0, edges, 31.0, epochs, 11, time, 205.84053015708923
nodes, 15.0, edges, 31.0, epochs, 12, time, 206.76688647270203
nodes, 15.0, edges, 31.0, epochs, 13, time, 205.22299098968506
nodes, 15.0, edges, 31.0, epochs, 14, time, 205.61869716644287
nodes, 15.0, edges, 31.0, epochs, 15, time, 204.423903465271
nodes, 15.0, edges, 31.0, epochs, 16, time, 205.18947839736938
nodes, 15.0, edges, 31.0, epochs, 17, time, 205.0047254562378
nodes, 15.0, edges, 31.0, epochs, 18, time, 204.00828456878662
nodes, 15.0, edges, 31.0, epochs, 19, time, 204.4184205532074
nodes, 15.0, edges, 19.0, epochs, -1, time, 92.08407235145569
nodes, 15.0, edges, 19.0, epochs, 0, time, 84.85307812690735
nodes, 15.0, edges, 19.0, epochs, 1, time, 85.47413849830627
nodes, 15.0, edges, 19.0, epochs, 2, time, 111.19775295257568
nodes, 15.0, edges, 19.0, epochs, 3, time, 106.25960516929626
nodes, 15.0, edges, 19.0, epochs, 4, time, 101.09909248352051
nodes, 15.0, edges, 19.0, epochs, 5, time, 103.05841040611267
nodes, 15.0, edges, 19.0, epochs, 6, time, 110.30571746826172
nodes, 15.0, edges, 19.0, epochs, 7, time, 103.86321449279785
nodes, 15.0, edges, 19.0, epochs, 8, time, 102.29034447669983
nodes, 15.0, edges, 19.0, epochs, 9, time, 108.62073230743408
nodes, 15.0, edges, 19.0, epochs, 10, time, 107.40590500831604
nodes, 15.0, edges, 19.0, epochs, 11, time, 114.53648805618286
nodes, 15.0, edges, 19.0, epochs, 12, time, 111.62317061424255
nodes, 15.0, edges, 19.0, epochs, 13, time, 116.69734191894531
nodes, 15.0, edges, 19.0, epochs, 14, time, 117.95861172676086
nodes, 15.0, edges, 19.0, epochs, 15, time, 112.65745997428894
nodes, 15.0, edges, 19.0, epochs, 16, time, 115.97397112846375
nodes, 15.0, edges, 19.0, epochs, 17, time, 119.15810561180115
nodes, 15.0, edges, 19.0, epochs, 18, time, 115.31511855125427
nodes, 15.0, edges, 19.0, epochs, 19, time, 122.28506779670715
