nodes, 15.0, edges, 24.0, epochs, -1, time, 6.747070550918579
nodes, 15.0, edges, 24.0, epochs, 0, time, 6.324395418167114
nodes, 15.0, edges, 24.0, epochs, 1, time, 18.227224588394165
nodes, 15.0, edges, 24.0, epochs, 2, time, 36.46206617355347
nodes, 15.0, edges, 24.0, epochs, 3, time, 30.15018916130066
nodes, 15.0, edges, 24.0, epochs, 4, time, 20.04127812385559
nodes, 15.0, edges, 24.0, epochs, 5, time, 17.67825722694397
nodes, 15.0, edges, 24.0, epochs, 6, time, 15.168790102005005
nodes, 15.0, edges, 24.0, epochs, 7, time, 14.338728904724121
nodes, 15.0, edges, 24.0, epochs, 8, time, 16.078426599502563
nodes, 15.0, edges, 24.0, epochs, 9, time, 15.109253644943237
nodes, 15.0, edges, 24.0, epochs, 10, time, 15.561450242996216
nodes, 15.0, edges, 24.0, epochs, 11, time, 19.597522974014282
nodes, 15.0, edges, 24.0, epochs, 12, time, 12.33540964126587
nodes, 15.0, edges, 24.0, epochs, 13, time, 22.711299657821655
nodes, 15.0, edges, 24.0, epochs, 14, time, 12.133969783782959
nodes, 15.0, edges, 24.0, epochs, 15, time, 17.082475423812866
nodes, 15.0, edges, 24.0, epochs, 16, time, 13.58931303024292
nodes, 15.0, edges, 24.0, epochs, 17, time, 14.603034257888794
nodes, 15.0, edges, 24.0, epochs, 18, time, 16.68580937385559
nodes, 15.0, edges, 24.0, epochs, 19, time, 11.514095544815063
nodes, 15.0, edges, 24.0, epochs, 20, time, 13.852863788604736
nodes, 15.0, edges, 24.0, epochs, 21, time, 13.062465190887451
nodes, 15.0, edges, 24.0, epochs, 22, time, 15.992172241210938
nodes, 15.0, edges, 24.0, epochs, 23, time, 11.944143772125244
nodes, 15.0, edges, 24.0, epochs, 24, time, 16.52287220954895
nodes, 15.0, edges, 24.0, epochs, 25, time, 10.865187168121338
nodes, 15.0, edges, 24.0, epochs, 26, time, 17.402000665664673
nodes, 15.0, edges, 24.0, epochs, 27, time, 12.951468229293823
nodes, 15.0, edges, 24.0, epochs, 28, time, 10.633278846740723
nodes, 15.0, edges, 24.0, epochs, 29, time, 19.393661975860596
nodes, 15.0, edges, 30.0, epochs, -1, time, 11.79876184463501
nodes, 15.0, edges, 30.0, epochs, 0, time, 33.96726584434509
nodes, 15.0, edges, 30.0, epochs, 1, time, 19.330214023590088
nodes, 15.0, edges, 30.0, epochs, 2, time, 14.141126155853271
nodes, 15.0, edges, 30.0, epochs, 3, time, 10.04740047454834
nodes, 15.0, edges, 30.0, epochs, 4, time, 10.039407968521118
nodes, 15.0, edges, 30.0, epochs, 5, time, 11.324835300445557
nodes, 15.0, edges, 30.0, epochs, 6, time, 9.252318382263184
nodes, 15.0, edges, 30.0, epochs, 7, time, 9.878861904144287
nodes, 15.0, edges, 30.0, epochs, 8, time, 12.780457973480225
nodes, 15.0, edges, 30.0, epochs, 9, time, 9.210285186767578
nodes, 15.0, edges, 30.0, epochs, 10, time, 9.28844952583313
nodes, 15.0, edges, 30.0, epochs, 11, time, 12.664996147155762
nodes, 15.0, edges, 30.0, epochs, 12, time, 9.03470492362976
nodes, 15.0, edges, 30.0, epochs, 13, time, 9.215635299682617
nodes, 15.0, edges, 30.0, epochs, 14, time, 10.769027948379517
nodes, 15.0, edges, 30.0, epochs, 15, time, 9.248643159866333
nodes, 15.0, edges, 30.0, epochs, 16, time, 9.218122959136963
nodes, 15.0, edges, 30.0, epochs, 17, time, 9.01714301109314
nodes, 15.0, edges, 30.0, epochs, 18, time, 9.14555048942566
nodes, 15.0, edges, 30.0, epochs, 19, time, 9.662988185882568
nodes, 15.0, edges, 30.0, epochs, 20, time, 9.506503105163574
nodes, 15.0, edges, 30.0, epochs, 21, time, 9.064949989318848
nodes, 15.0, edges, 30.0, epochs, 22, time, 9.027782678604126
nodes, 15.0, edges, 30.0, epochs, 23, time, 12.900434017181396
nodes, 15.0, edges, 30.0, epochs, 24, time, 13.170603513717651
nodes, 15.0, edges, 30.0, epochs, 25, time, 10.204664945602417
nodes, 15.0, edges, 30.0, epochs, 26, time, 10.443631887435913
nodes, 15.0, edges, 30.0, epochs, 27, time, 10.618293046951294
nodes, 15.0, edges, 30.0, epochs, 28, time, 10.434449911117554
nodes, 15.0, edges, 30.0, epochs, 29, time, 10.589664459228516
nodes, 15.0, edges, 31.0, epochs, -1, time, 5.601362705230713
nodes, 15.0, edges, 31.0, epochs, 0, time, 5.4438982009887695
nodes, 15.0, edges, 31.0, epochs, 1, time, 10.290754795074463
nodes, 15.0, edges, 31.0, epochs, 2, time, 6.582110643386841
nodes, 15.0, edges, 31.0, epochs, 3, time, 5.567343711853027
nodes, 15.0, edges, 31.0, epochs, 4, time, 5.673395156860352
nodes, 15.0, edges, 31.0, epochs, 5, time, 5.540003061294556
nodes, 15.0, edges, 31.0, epochs, 6, time, 5.635834217071533
nodes, 15.0, edges, 31.0, epochs, 7, time, 5.648693084716797
nodes, 15.0, edges, 31.0, epochs, 8, time, 5.589396715164185
nodes, 15.0, edges, 31.0, epochs, 9, time, 5.5550150871276855
nodes, 15.0, edges, 31.0, epochs, 10, time, 5.488948822021484
nodes, 15.0, edges, 31.0, epochs, 11, time, 5.442394971847534
nodes, 15.0, edges, 31.0, epochs, 12, time, 5.4403464794158936
nodes, 15.0, edges, 31.0, epochs, 13, time, 5.503000974655151
nodes, 15.0, edges, 31.0, epochs, 14, time, 5.492725849151611
nodes, 15.0, edges, 31.0, epochs, 15, time, 5.3617103099823
nodes, 15.0, edges, 31.0, epochs, 16, time, 5.564596176147461
nodes, 15.0, edges, 31.0, epochs, 17, time, 5.504400730133057
nodes, 15.0, edges, 31.0, epochs, 18, time, 5.521973133087158
nodes, 15.0, edges, 31.0, epochs, 19, time, 5.489199876785278
nodes, 15.0, edges, 31.0, epochs, 20, time, 5.489065885543823
nodes, 15.0, edges, 31.0, epochs, 21, time, 5.348770618438721
nodes, 15.0, edges, 31.0, epochs, 22, time, 5.455539703369141
nodes, 15.0, edges, 31.0, epochs, 23, time, 5.49778151512146
nodes, 15.0, edges, 31.0, epochs, 24, time, 5.390848636627197
nodes, 15.0, edges, 31.0, epochs, 25, time, 5.478635311126709
nodes, 15.0, edges, 31.0, epochs, 26, time, 5.577218294143677
nodes, 15.0, edges, 31.0, epochs, 27, time, 5.4818549156188965
nodes, 15.0, edges, 31.0, epochs, 28, time, 5.575963973999023
nodes, 15.0, edges, 31.0, epochs, 29, time, 5.517386436462402
nodes, 15.0, edges, 19.0, epochs, -1, time, 23.678483247756958
nodes, 15.0, edges, 19.0, epochs, 0, time, 126.64615893363953
nodes, 15.0, edges, 19.0, epochs, 1, time, 93.38546895980835
nodes, 15.0, edges, 19.0, epochs, 2, time, 12.30491828918457
nodes, 15.0, edges, 19.0, epochs, 3, time, 21.75797152519226
nodes, 15.0, edges, 19.0, epochs, 4, time, 27.22005605697632
nodes, 15.0, edges, 19.0, epochs, 5, time, 32.59371209144592
nodes, 15.0, edges, 19.0, epochs, 6, time, 22.065149784088135
nodes, 15.0, edges, 19.0, epochs, 7, time, 19.209091424942017
nodes, 15.0, edges, 19.0, epochs, 8, time, 19.47722601890564
nodes, 15.0, edges, 19.0, epochs, 9, time, 19.834739208221436
nodes, 15.0, edges, 19.0, epochs, 10, time, 18.837564945220947
nodes, 15.0, edges, 19.0, epochs, 11, time, 18.028708934783936
nodes, 15.0, edges, 19.0, epochs, 12, time, 19.679738998413086
nodes, 15.0, edges, 19.0, epochs, 13, time, 17.360835552215576
nodes, 15.0, edges, 19.0, epochs, 14, time, 13.7877197265625
nodes, 15.0, edges, 19.0, epochs, 15, time, 18.960863828659058
nodes, 15.0, edges, 19.0, epochs, 16, time, 16.735246658325195
nodes, 15.0, edges, 19.0, epochs, 17, time, 18.63312268257141
nodes, 15.0, edges, 19.0, epochs, 18, time, 14.417362689971924
nodes, 15.0, edges, 19.0, epochs, 19, time, 20.21429944038391
nodes, 15.0, edges, 19.0, epochs, 20, time, 15.23576021194458
nodes, 15.0, edges, 19.0, epochs, 21, time, 17.88053798675537
nodes, 15.0, edges, 19.0, epochs, 22, time, 15.374085903167725
nodes, 15.0, edges, 19.0, epochs, 23, time, 21.466986417770386
nodes, 15.0, edges, 19.0, epochs, 24, time, 14.93620252609253
nodes, 15.0, edges, 19.0, epochs, 25, time, 17.027355432510376
nodes, 15.0, edges, 19.0, epochs, 26, time, 16.90345001220703
nodes, 15.0, edges, 19.0, epochs, 27, time, 17.41834282875061
nodes, 15.0, edges, 19.0, epochs, 28, time, 17.16031503677368
nodes, 15.0, edges, 19.0, epochs, 29, time, 15.54285192489624
nodes, 15.0, edges, 41.0, epochs, -1, time, 17.361221313476562
nodes, 15.0, edges, 41.0, epochs, 0, time, 10.120478391647339
nodes, 15.0, edges, 41.0, epochs, 1, time, 11.011497735977173
nodes, 15.0, edges, 41.0, epochs, 2, time, 12.528953552246094
nodes, 15.0, edges, 41.0, epochs, 3, time, 16.730539798736572
nodes, 15.0, edges, 41.0, epochs, 4, time, 14.681704998016357
nodes, 15.0, edges, 41.0, epochs, 5, time, 20.514715909957886
nodes, 15.0, edges, 41.0, epochs, 6, time, 24.714933395385742
nodes, 15.0, edges, 41.0, epochs, 7, time, 17.10870909690857
nodes, 15.0, edges, 41.0, epochs, 8, time, 20.65469479560852
nodes, 15.0, edges, 41.0, epochs, 9, time, 20.87938165664673
nodes, 15.0, edges, 41.0, epochs, 10, time, 22.308335542678833
nodes, 15.0, edges, 41.0, epochs, 11, time, 33.04970574378967
nodes, 15.0, edges, 41.0, epochs, 12, time, 25.182320594787598
nodes, 15.0, edges, 41.0, epochs, 13, time, 25.129319429397583
nodes, 15.0, edges, 41.0, epochs, 14, time, 30.584035396575928
nodes, 15.0, edges, 41.0, epochs, 15, time, 26.110216856002808
nodes, 15.0, edges, 41.0, epochs, 16, time, 36.34366774559021
nodes, 15.0, edges, 41.0, epochs, 17, time, 29.35169243812561
nodes, 15.0, edges, 41.0, epochs, 18, time, 27.903208017349243
nodes, 15.0, edges, 41.0, epochs, 19, time, 33.44587731361389
nodes, 15.0, edges, 41.0, epochs, 20, time, 19.81366539001465
nodes, 15.0, edges, 41.0, epochs, 21, time, 35.449786901474
nodes, 15.0, edges, 41.0, epochs, 22, time, 19.614098072052002
nodes, 15.0, edges, 41.0, epochs, 23, time, 27.329328298568726
nodes, 15.0, edges, 41.0, epochs, 24, time, 29.294721126556396
nodes, 15.0, edges, 41.0, epochs, 25, time, 25.175986528396606
nodes, 15.0, edges, 41.0, epochs, 26, time, 26.623783588409424
nodes, 15.0, edges, 41.0, epochs, 27, time, 24.77592968940735
nodes, 15.0, edges, 41.0, epochs, 28, time, 25.325723886489868
nodes, 15.0, edges, 41.0, epochs, 29, time, 22.83294939994812
