nodes, 10.0, edges, 21.0, epochs, -1, time, 0.1496896743774414
nodes, 10.0, edges, 21.0, epochs, 0, time, 9.587647676467896
nodes, 10.0, edges, 18.0, epochs, -1, time, 0.13735008239746094
nodes, 10.0, edges, 18.0, epochs, 0, time, 8.298532962799072
nodes, 10.0, edges, 13.0, epochs, -1, time, 0.13480472564697266
nodes, 10.0, edges, 13.0, epochs, 0, time, 23.021069049835205
nodes, 10.0, edges, 16.0, epochs, -1, time, 0.14376091957092285
nodes, 10.0, edges, 16.0, epochs, 0, time, 9.752646446228027
nodes, 10.0, edges, 17.0, epochs, -1, time, 0.1172177791595459
nodes, 10.0, edges, 17.0, epochs, 0, time, 151.48001790046692
nodes, 12.0, edges, 20.0, epochs, -1, time, 0.15083694458007812
nodes, 12.0, edges, 20.0, epochs, 0, time, 8.919698715209961
nodes, 12.0, edges, 25.0, epochs, -1, time, 0.17919111251831055
nodes, 12.0, edges, 25.0, epochs, 0, time, 136.2607228755951
nodes, 12.0, edges, 18.0, epochs, -1, time, 0.16452574729919434
nodes, 12.0, edges, 18.0, epochs, 0, time, 5.321519136428833
nodes, 12.0, edges, 21.0, epochs, -1, time, 0.1255197525024414
nodes, 12.0, edges, 21.0, epochs, 0, time, 5.883005857467651
nodes, 12.0, edges, 28.0, epochs, -1, time, 0.21434307098388672
nodes, 12.0, edges, 28.0, epochs, 0, time, 14.546911716461182
nodes, 14.0, edges, 37.0, epochs, -1, time, 0.17274141311645508
nodes, 14.0, edges, 37.0, epochs, 0, time, 5.192282199859619
nodes, 14.0, edges, 36.0, epochs, -1, time, 0.1920156478881836
nodes, 14.0, edges, 36.0, epochs, 0, time, 7.907225608825684
nodes, 14.0, edges, 24.0, epochs, -1, time, 0.1457064151763916
nodes, 14.0, edges, 24.0, epochs, 0, time, 6.478668451309204
nodes, 14.0, edges, 22.0, epochs, -1, time, 0.11782264709472656
nodes, 14.0, edges, 22.0, epochs, 0, time, 117.03651237487793
nodes, 14.0, edges, 34.0, epochs, -1, time, 0.12933063507080078
