n,two-stage,decision-focused,surrogate
20,1.493,1.556,1.518
30,6.529,6.847,6.723
40,9.366,9.878,9.506
50,12.812,13.145,13.092
60,59.076,63.371,60.354
80,94.130,94.978,100.996
100,168.715,163.933,159.220
n,two-stage,decision-focused,surrogate
20,19.009,14.443,16.838
30,95.327,64.259,75.823
40,134.513,48.321,121.214
50,222.648,201.463,41.408
60,324.905,299.825,802.245
80,308.306,861.912,726.767
100,0.000,1003.114,604.181
n,two-stage,decision-focused,surrogate
20,0.000,3.916,2.344
30,0.000,18.791,10.749
40,0.000,31.398,15.214
50,0.000,44.356,19.482
60,0.000,251.170,89.724
80,0.000,438.273,141.141
100,0.000,958.035,229.721
n,two-stage,decision-focused,surrogate
20,2.261,3.721,3.928
30,10.345,16.516,17.131
40,15.095,25.470,23.789
50,20.085,31.057,31.977
60,94.458,159.761,149.948
80,153.670,214.876,242.485
100,263.982,386.295,388.280
