Random seed, 21
mode, epoch, average loss, defender utility
training, -1, -2.1798270089285714e-07, -3.3071768965039934, 0
validating, -1, -1.9073486328125e-07, -3.2771420955657957, 0
testing, -1, 1.430511474609375e-07, -3.2763122797012327, 0
training, 0, 7.193634033203125, -5.252526637486049, 0
validating, 0, 7.913669013977051, -5.372802829742431, 0
testing, 0, 6.5277557373046875, -5.071308660507202, 0
training, 1, 3.288730069569179, -4.553648471832275, 0
validating, 1, 2.6710841178894045, -3.7945382595062256, 0
testing, 1, 3.1508508682250977, -4.091052222251892, 0
training, 2, 3.050735453196934, -3.778205033711025, 0
validating, 2, 2.4918349266052244, -3.7267929553985595, 0
testing, 2, 2.9595058441162108, -3.915212035179138, 0
training, 3, 3.254582875115531, -3.7148268904004778, 0
validating, 3, 2.951766300201416, -3.748158264160156, 0
testing, 3, 3.430409049987793, -3.8800241231918333, 0
training, 4, 3.3504782199859617, -3.6913576126098633, 0
validating, 4, 2.792788791656494, -3.750492477416992, 0
testing, 4, 3.253290557861328, -3.867617058753967, 0
training, 5, 3.277506331035069, -3.6894368921007428, 0
validating, 5, 3.0487906455993654, -3.7731332778930664, 0
testing, 5, 3.5145487785339355, -3.883148980140686, 0
training, 6, 3.391830314908709, -3.681204346248082, 0
validating, 6, 3.350786304473877, -3.8409115791320803, 0
testing, 6, 3.8241180419921874, -3.9003758907318113, 0
training, 7, 3.3702285153525215, -3.682559333528791, 0
validating, 7, 3.6534659385681154, -3.9124136447906492, 0
testing, 7, 4.111204814910889, -3.8934508562088013, 0
training, 8, 3.571619040625436, -3.667337220055716, 0
validating, 8, 3.0879815101623533, -3.803954076766968, 0
testing, 8, 3.503710651397705, -3.8129262685775758, 0
training, 9, 3.283645609446934, -3.631469099862235, 0
validating, 9, 3.2981785774230956, -3.8130899906158446, 0
testing, 9, 3.7210834503173826, -3.778812575340271, 0
training, 10, 3.741930764062064, -3.6338704586029054, 0
validating, 10, 3.5704026222229004, -3.855155324935913, 0
testing, 10, 3.9335610389709474, -3.825545144081116, 0
training, 11, 3.3826607636043002, -3.6312124933515277, 0
validating, 11, 3.5589394569396973, -3.8310389041900637, 0
testing, 11, 3.9695420265197754, -3.797000193595886, 0
training, 12, 3.667073311124529, -3.6361943926130023, 0
validating, 12, 2.72029333114624, -3.7685351848602293, 0
testing, 12, 3.09149751663208, -3.7518914699554444, 0
training, 13, 3.1922086238861085, -3.59586136000497, 0
validating, 13, 3.6872591972351074, -3.8521533966064454, 0
testing, 13, 4.050990390777588, -3.8111700773239137, 0
training, 14, 3.5550242355891637, -3.5956037861960275, 0
validating, 14, 3.302831935882568, -3.7749404430389406, 0
testing, 14, 3.7030787467956543, -3.7547152996063233, 0
training, 15, 3.447756092888968, -3.5859804562159945, 0
validating, 15, 3.0400040626525877, -3.751008176803589, 0
testing, 15, 3.4594597816467285, -3.7377492666244505, 0
training, 16, 3.4903720651354107, -3.5746104785374233, 0
validating, 16, 3.4122311592102053, -3.765032339096069, 0
testing, 16, 3.864207935333252, -3.749138927459717, 0
training, 17, 3.637367582321167, -3.5840398107256206, 0
validating, 17, 3.4830437660217286, -3.786734628677368, 0
testing, 17, 3.910678768157959, -3.783779835700989, 0
training, 18, 3.615887635094779, -3.601828418459211, 0
validating, 18, 3.2785040855407717, -3.7635067462921143, 0
testing, 18, 3.6883193016052247, -3.7655338048934937, 0
training, 19, 3.375424037660871, -3.579343135016305, 0
validating, 19, 3.514832592010498, -3.7836279392242433, 0
testing, 19, 3.9361515998840333, -3.784270095825195, 0
training, 20, 3.589022956575666, -3.573350388663156, 0
validating, 20, 3.470164966583252, -3.7593751430511473, 0
testing, 20, 3.9092947006225587, -3.7541085958480833, 0
training, 21, 3.6632140363965715, -3.5828729493277414, 0
validating, 21, 3.421802043914795, -3.756130504608154, 0
testing, 21, 3.8556135177612303, -3.7547502517700195, 0
training, 22, 3.562731327329363, -3.5643039975847515, 0
validating, 22, 3.590203380584717, -3.79414963722229, 0
testing, 22, 3.986662006378174, -3.7943618059158326, 0
training, 23, 3.5391199861254012, -3.578759581702096, 0
validating, 23, 3.356061840057373, -3.7584386348724363, 0
testing, 23, 3.7585762977600097, -3.7511841535568236, 0
training, 24, 3.4607962540217807, -3.550206674848284, 0
validating, 24, 3.6598132133483885, -3.792768621444702, 0
testing, 24, 4.062878608703613, -3.7729936838150024, 0
training, 25, 3.7359895638057163, -3.5674330234527587, 0
validating, 25, 3.147767353057861, -3.7345383644104, 0
testing, 25, 3.5806551933288575, -3.736809182167053, 0
training, 26, 3.378846011843, -3.551419537408011, 0
validating, 26, 3.183259868621826, -3.7353944778442383, 0
testing, 26, 3.610718822479248, -3.739301609992981, 0
training, 27, 3.5125283445630755, -3.548916469301496, 0
validating, 27, 3.3577149391174315, -3.74798378944397, 0
testing, 27, 3.772903633117676, -3.746089220046997, 0
training, 28, 3.658560623441424, -3.5548760959080288, 0
validating, 28, 3.3742669105529783, -3.736502504348755, 0
testing, 28, 3.823811721801758, -3.727185368537903, 0
training, 29, 3.6563804013388497, -3.545424222946167, 0
validating, 29, 3.4951109886169434, -3.7414928913116454, 0
testing, 29, 3.9431196212768556, -3.74197096824646, 0
training, 30, 3.7175429684775216, -3.547716202054705, 0
validating, 30, 3.3661675453186035, -3.7318114280700683, 0
testing, 30, 3.8318246841430663, -3.7285067081451415, 0
training, 31, 3.5950205189841133, -3.553609527860369, 0
validating, 31, 3.1778822898864747, -3.73129563331604, 0
testing, 31, 3.624818229675293, -3.729854106903076, 0
training, 32, 3.55529225894383, -3.551413154602051, 0
validating, 32, 3.539062976837158, -3.757574462890625, 0
testing, 32, 3.9675002098083496, -3.7520420074462892, 0
training, 33, 3.6888253552573067, -3.541526746749878, 0
validating, 33, 3.298225498199463, -3.731710910797119, 0
testing, 33, 3.7519391059875487, -3.7289992570877075, 0
training, 34, 3.574000474384853, -3.53674624306815, 0
validating, 34, 3.411979579925537, -3.7427226066589356, 0
testing, 34, 3.8443995475769044, -3.742368531227112, 0
training, 35, 3.738563885007586, -3.5410734925951277, 0
validating, 35, 3.3764676094055175, -3.7352957248687746, 0
testing, 35, 3.8249130249023438, -3.741049885749817, 0
training, 36, 3.608699859891619, -3.535292264393398, 0
validating, 36, 3.3760125160217287, -3.7370999813079835, 0
testing, 36, 3.8162539482116697, -3.7394021272659304, 0
training, 37, 3.6469463144029888, -3.537329966681344, 0
validating, 37, 3.467057704925537, -3.741377830505371, 0
testing, 37, 3.910276699066162, -3.742279815673828, 0
training, 38, 3.658819777624948, -3.5339570658547537, 0
validating, 38, 3.4146918296813964, -3.7328465461730955, 0
testing, 38, 3.8716732978820803, -3.7344786405563353, 0
training, 39, 3.6912585735321044, -3.5338892664228165, 0
validating, 39, 3.460122013092041, -3.7388405799865723, 0
testing, 39, 3.91052188873291, -3.739564037322998, 0
training, 40, 3.6814214774540495, -3.5331503323146274, 0
validating, 40, 3.4298134803771974, -3.7378081321716308, 0
testing, 40, 3.8748961448669434, -3.7378442525863647, 0
training, 41, 3.6981991836002894, -3.5346942833491735, 0
validating, 41, 3.404907703399658, -3.741185760498047, 0
testing, 41, 3.8357982635498047, -3.7456667900085447, 0
training, 42, 3.6638111727578297, -3.5328503813062397, 0
validating, 42, 3.402708339691162, -3.7330302238464355, 0
testing, 42, 3.8571712493896486, -3.7333324432373045, 0
training, 43, 3.640205104010446, -3.531795372281756, 0
