nodes, 16.0, edges, 44.0, epochs, -1, time, 7.073232889175415
nodes, 16.0, edges, 44.0, epochs, 0, time, 6.580590009689331
nodes, 16.0, edges, 44.0, epochs, 1, time, 6.880138874053955
nodes, 16.0, edges, 44.0, epochs, 2, time, 13.987547159194946
nodes, 16.0, edges, 44.0, epochs, 3, time, 7.587521553039551
nodes, 16.0, edges, 44.0, epochs, 4, time, 7.964178800582886
nodes, 16.0, edges, 44.0, epochs, 5, time, 8.563569784164429
nodes, 16.0, edges, 44.0, epochs, 6, time, 7.778184413909912
nodes, 16.0, edges, 44.0, epochs, 7, time, 7.442383766174316
nodes, 16.0, edges, 44.0, epochs, 8, time, 7.3007121086120605
nodes, 16.0, edges, 44.0, epochs, 9, time, 7.3090856075286865
nodes, 16.0, edges, 44.0, epochs, 10, time, 7.422154903411865
nodes, 16.0, edges, 44.0, epochs, 11, time, 7.271269798278809
nodes, 16.0, edges, 44.0, epochs, 12, time, 7.393023490905762
nodes, 16.0, edges, 44.0, epochs, 13, time, 7.413951635360718
nodes, 16.0, edges, 44.0, epochs, 14, time, 7.245417594909668
nodes, 16.0, edges, 44.0, epochs, 15, time, 7.405831813812256
nodes, 16.0, edges, 44.0, epochs, 16, time, 7.343385219573975
nodes, 16.0, edges, 44.0, epochs, 17, time, 7.349525690078735
nodes, 16.0, edges, 44.0, epochs, 18, time, 7.37485933303833
nodes, 16.0, edges, 44.0, epochs, 19, time, 7.377458095550537
nodes, 16.0, edges, 44.0, epochs, -1, time, 7.02811861038208
nodes, 16.0, edges, 44.0, epochs, 0, time, 6.657272577285767
nodes, 16.0, edges, 44.0, epochs, 1, time, 6.97255802154541
nodes, 16.0, edges, 44.0, epochs, 2, time, 7.073173761367798
nodes, 16.0, edges, 44.0, epochs, 3, time, 24.67763590812683
nodes, 16.0, edges, 44.0, epochs, 4, time, 7.3575599193573
nodes, 16.0, edges, 44.0, epochs, 5, time, 7.259350776672363
nodes, 16.0, edges, 44.0, epochs, 6, time, 7.677364110946655
nodes, 16.0, edges, 44.0, epochs, 7, time, 7.7930803298950195
nodes, 16.0, edges, 44.0, epochs, 8, time, 7.716310501098633
nodes, 16.0, edges, 44.0, epochs, 9, time, 8.105356216430664
nodes, 16.0, edges, 44.0, epochs, 10, time, 8.482604503631592
nodes, 16.0, edges, 44.0, epochs, 11, time, 8.36686635017395
nodes, 16.0, edges, 44.0, epochs, 12, time, 8.18635106086731
nodes, 16.0, edges, 44.0, epochs, 13, time, 8.15443730354309
nodes, 16.0, edges, 44.0, epochs, 14, time, 8.109027624130249
nodes, 16.0, edges, 44.0, epochs, 15, time, 8.123172760009766
nodes, 16.0, edges, 44.0, epochs, 16, time, 8.000425577163696
nodes, 16.0, edges, 44.0, epochs, 17, time, 7.968075752258301
nodes, 16.0, edges, 44.0, epochs, 18, time, 7.818495035171509
nodes, 16.0, edges, 44.0, epochs, 19, time, 7.704545974731445
nodes, 16.0, edges, 44.0, epochs, -1, time, 6.657991170883179
nodes, 16.0, edges, 44.0, epochs, 0, time, 8.438881158828735
nodes, 16.0, edges, 44.0, epochs, 1, time, 8.074079513549805
nodes, 16.0, edges, 44.0, epochs, 2, time, 7.2516701221466064
nodes, 16.0, edges, 44.0, epochs, 3, time, 11.942640781402588
nodes, 16.0, edges, 44.0, epochs, 4, time, 6.842628002166748
nodes, 16.0, edges, 44.0, epochs, 5, time, 6.825516223907471
nodes, 16.0, edges, 44.0, epochs, 6, time, 6.758173704147339
nodes, 16.0, edges, 44.0, epochs, 7, time, 6.750403881072998
nodes, 16.0, edges, 44.0, epochs, 8, time, 6.785115480422974
nodes, 16.0, edges, 44.0, epochs, 9, time, 6.751935005187988
nodes, 16.0, edges, 44.0, epochs, 10, time, 6.757744550704956
nodes, 16.0, edges, 44.0, epochs, 11, time, 6.658102750778198
nodes, 16.0, edges, 44.0, epochs, 12, time, 6.634638786315918
nodes, 16.0, edges, 44.0, epochs, 13, time, 6.741995096206665
nodes, 16.0, edges, 44.0, epochs, 14, time, 6.900608062744141
nodes, 16.0, edges, 44.0, epochs, 15, time, 6.995376825332642
nodes, 16.0, edges, 44.0, epochs, 16, time, 7.117555856704712
nodes, 16.0, edges, 44.0, epochs, 17, time, 7.05513334274292
nodes, 16.0, edges, 44.0, epochs, 18, time, 7.027847766876221
nodes, 16.0, edges, 44.0, epochs, 19, time, 7.243423938751221
