Random seed, 1
mode, epoch, average loss, defender utility
training, -1, -2.7247837611607142e-08, -2.34953293800354, 0
validating, -1, -1.6689300537109374e-07, -2.3154141902923584, 0
testing, -1, 3.5762786865234374e-08, -2.394715595245361, 0
training, 0, 0.9637989146368844, -2.733939150401524, 0
validating, 0, 1.0066100358963013, -2.7552260398864745, 0
testing, 0, 0.8732657670974732, -2.783578634262085, 0
training, 1, 0.7118210690362113, -2.622036906651088, 0
validating, 1, 0.5786839246749877, -2.574354887008667, 0
testing, 1, 0.46373329162597654, -2.59004385471344, 0
training, 2, 0.551103527205331, -2.567290231159755, 0
validating, 2, 0.5611486196517944, -2.5764894485473633, 0
testing, 2, 0.44428579807281493, -2.5867259740829467, 0
training, 3, 0.5665579080581665, -2.5500881944383895, 0
validating, 3, 0.5651350259780884, -2.573820781707764, 0
testing, 3, 0.4445651054382324, -2.5879390954971315, 0
training, 4, 0.5390851463590349, -2.558988176073347, 0
validating, 4, 0.6006293058395386, -2.499755048751831, 0
testing, 4, 0.46560752391815186, -2.584697151184082, 0
training, 5, 0.5652050461087909, -2.5495620591299875, 0
validating, 5, 0.5536537408828736, -2.576093912124634, 0
testing, 5, 0.42777912616729735, -2.585684871673584, 0
training, 6, 0.5228348800114223, -2.5483541829245433, 0
validating, 6, 0.5716602563858032, -2.5731555461883544, 0
testing, 6, 0.43622121810913084, -2.544857382774353, 0
training, 7, 0.5318977390016828, -2.524676840645926, 0
validating, 7, 0.5924045324325562, -2.444118690490723, 0
testing, 7, 0.45618765354156493, -2.5300966024398805, 0
training, 8, 0.5280132055282593, -2.5292436395372664, 0
validating, 8, 0.5694500207901001, -2.447447633743286, 0
testing, 8, 0.43034815788269043, -2.537282419204712, 0
training, 9, 0.5295500108173915, -2.5002039296286447, 0
validating, 9, 0.526166558265686, -2.5789201736450194, 0
testing, 9, 0.4015726327896118, -2.5826684713363646, 0
training, 10, 0.5317852973937989, -2.527731616156442, 0
validating, 10, 0.5318574190139771, -2.574706268310547, 0
testing, 10, 0.3985373735427856, -2.537462282180786, 0
training, 11, 0.48096742630004885, -2.5613894735063827, 0
validating, 11, 0.5715604543685913, -2.42365083694458, 0
testing, 11, 0.42076773643493653, -2.491008973121643, 0
training, 12, 0.5014593192509242, -2.5101492949894495, 0
validating, 12, 0.5152057886123658, -2.578688907623291, 0
testing, 12, 0.38195028305053713, -2.579343056678772, 0
training, 13, 0.48116678169795446, -2.520479304449899, 0
validating, 13, 0.5277162551879883, -2.6092226982116697, 0
testing, 13, 0.4202397584915161, -2.6363545179367067, 0
training, 14, 0.5131917987551008, -2.530510207584926, 0
validating, 14, 0.5376841306686402, -2.4519339561462403, 0
testing, 14, 0.3881471872329712, -2.53074254989624, 0
training, 15, 0.4650210993630545, -2.506341178076608, 0
validating, 15, 0.5459181070327759, -2.4218347549438475, 0
testing, 15, 0.39777843952178954, -2.4884310245513914, 0
training, 16, 0.4762894936970302, -2.5102131502968925, 0
validating, 16, 0.6154480695724487, -2.4819859504699706, 0
testing, 16, 0.43664696216583254, -2.512053632736206, 0
training, 17, 0.45638289451599123, -2.4898014068603516, 0
