Random seed, 9
mode, epoch, average loss, defender utility
training, -1, 0.0, -2.317993221964155, 0
validating, -1, 2.384185791015625e-07, -2.2827802419662477, 0
testing, -1, 1.9073486328125e-07, -2.3710566759109497, 0
training, 0, 1.762341662815639, -3.3679366997310094, 0
validating, 0, 1.7357609272003174, -3.3295042514801025, 0
testing, 0, 1.7753384828567504, -3.416192960739136, 0
training, 1, 1.1864982400621686, -2.619063070842198, 0
validating, 1, 1.037485456466675, -2.4474480152130127, 0
testing, 1, 1.011438798904419, -2.4478156566619873, 0
training, 2, 0.9749864782605853, -2.4466938427516394, 0
validating, 2, 0.9680513381958008, -2.459277057647705, 0
testing, 2, 0.9206658363342285, -2.4496089696884153, 0
training, 3, 0.8726226125444685, -2.457711056300572, 0
validating, 3, 0.889125394821167, -2.482285976409912, 0
testing, 3, 0.8300461292266845, -2.4594011068344117, 0
training, 4, 0.8119072505405971, -2.480435459954398, 0
validating, 4, 0.9050439834594727, -2.483371925354004, 0
testing, 4, 0.8423751831054688, -2.4622463941574098, 0
training, 5, 0.8074310370853969, -2.4702764306749616, 0
validating, 5, 0.8747389793395997, -2.4800046920776366, 0
testing, 5, 0.8227916479110717, -2.4645657300949098, 0
training, 6, 0.803429126739502, -2.469332899366106, 0
validating, 6, 0.885663652420044, -2.4913912296295164, 0
testing, 6, 0.8153511762619019, -2.4756603240966797, 0
training, 7, 0.7934524876730783, -2.4739324842180523, 0
validating, 7, 0.8905572891235352, -2.4866413116455077, 0
testing, 7, 0.8129440546035767, -2.4678362369537354, 0
training, 8, 0.7880862644740514, -2.4613912173679897, 0
validating, 8, 0.8657234668731689, -2.473364734649658, 0
testing, 8, 0.8274716377258301, -2.4603855848312377, 0
training, 9, 0.7911563328334263, -2.4560218606676374, 0
validating, 9, 0.8684272289276123, -2.4772600650787355, 0
testing, 9, 0.8149401903152466, -2.4615471601486205, 0
training, 10, 0.7883811746324811, -2.446720893042428, 0
validating, 10, 0.8739193439483642, -2.4818037033081053, 0
testing, 10, 0.7976982116699218, -2.4618486166000366, 0
training, 11, 0.7781857286180769, -2.4598540101732524, 0
validating, 11, 0.8534191131591797, -2.4664141654968263, 0
testing, 11, 0.8066405296325684, -2.4557159423828123, 0
training, 12, 0.7854805333273751, -2.4451905386788506, 0
validating, 12, 0.8533321857452393, -2.456509828567505, 0
testing, 12, 0.7915714979171753, -2.449571704864502, 0
training, 13, 0.7683957576751709, -2.4384852954319545, 0
validating, 13, 0.8611030101776123, -2.4663417816162108, 0
testing, 13, 0.7856538772583008, -2.45330924987793, 0
training, 14, 0.7607735361371721, -2.438660212925502, 0
validating, 14, 0.8619199752807617, -2.4630927562713625, 0
testing, 14, 0.7850080013275147, -2.45226104259491, 0
training, 15, 0.7546821662357875, -2.4392966747283937, 0
validating, 15, 0.8617599964141845, -2.465527820587158, 0
testing, 15, 0.7840818881988525, -2.4536997079849243, 0
training, 16, 0.755242143358503, -2.4380120618002756, 0
validating, 16, 0.8775829315185547, -2.4645498752593995, 0
testing, 16, 0.7872800588607788, -2.455135703086853, 0
training, 17, 0.7548455578940255, -2.4347899913787843, 0
validating, 17, 0.8622126579284668, -2.4581612586975097, 0
testing, 17, 0.780376648902893, -2.45065381526947, 0
training, 18, 0.7501861912863595, -2.4352336474827356, 0
validating, 18, 0.8612245559692383, -2.458163261413574, 0
testing, 18, 0.7793993473052978, -2.4504030466079714, 0
training, 19, 0.747908844266619, -2.4332480566842216, 0
validating, 19, 0.8635164260864258, -2.458039569854736, 0
testing, 19, 0.7765731573104858, -2.4506305694580077, 0
training, 20, 0.7454931735992432, -2.433283805847168, 0
validating, 20, 0.8647154331207275, -2.4563273429870605, 0
testing, 20, 0.7754873514175415, -2.4510617017745973, 0
training, 21, 0.7419936929430281, -2.433399506977626, 0
validating, 21, 0.8627299308776856, -2.45621976852417, 0
testing, 21, 0.7744181632995606, -2.449766826629639, 0
training, 22, 0.7405943870544434, -2.4297299112592423, 0
validating, 22, 0.8795018672943116, -2.4605886936187744, 0
testing, 22, 0.77287757396698, -2.452499580383301, 0
training, 23, 0.7412710053580148, -2.4282709871019637, 0
validating, 23, 0.865040636062622, -2.4565236568450928, 0
testing, 23, 0.7842759132385254, -2.4505192041397095, 0
training, 24, 0.7352748734610421, -2.4271076679229737, 0
validating, 24, 0.873961353302002, -2.458967685699463, 0
testing, 24, 0.7722456693649292, -2.450968861579895, 0
training, 25, 0.737149429321289, -2.428263391767229, 0
validating, 25, 0.8649983882904053, -2.4554070472717284, 0
testing, 25, 0.7706799983978272, -2.4492180824279783, 0
training, 26, 0.7344641140529088, -2.4279127870287214, 0
validating, 26, 0.8722412109375, -2.459842586517334, 0
testing, 26, 0.7680354833602905, -2.4511246204376222, 0
training, 27, 0.7359638282230923, -2.4281397683279855, 0
validating, 27, 0.8681145668029785, -2.457181692123413, 0
testing, 27, 0.7708000183105469, -2.450475072860718, 0
training, 28, 0.7349709783281598, -2.4246535846165247, 0
validating, 28, 0.8746037960052491, -2.4569459438323973, 0
testing, 28, 0.7673056602478028, -2.451049733161926, 0
training, 29, 0.7366273403167725, -2.42602778843471, 0
validating, 29, 0.8763044357299805, -2.460557699203491, 0
testing, 29, 0.768269419670105, -2.45229332447052, 0
training, 30, 0.7324610233306885, -2.4249209540230887, 0
validating, 30, 0.8739704132080078, -2.4594609260559084, 0
testing, 30, 0.7673243999481201, -2.4512545824050904, 0
training, 31, 0.7368918895721436, -2.4264523778642926, 0
validating, 31, 0.8837613582611084, -2.4621529579162598, 0
testing, 31, 0.7685329198837281, -2.453541326522827, 0
training, 32, 0.7336251326969692, -2.4254604612077983, 0
validating, 32, 0.878533411026001, -2.460785484313965, 0
testing, 32, 0.7674418687820435, -2.45286865234375, 0
training, 33, 0.7314761911119734, -2.423318522317069, 0
validating, 33, 0.8784696578979492, -2.4605990409851075, 0
testing, 33, 0.7666276693344116, -2.4522581100463867, 0
training, 34, 0.7370514052254813, -2.427001598903111, 0
validating, 34, 0.8808261394500733, -2.46273250579834, 0
testing, 34, 0.7662815809249878, -2.452906036376953, 0
training, 35, 0.7281232629503522, -2.422878578730992, 0
validating, 35, 0.8740986347198486, -2.457749843597412, 0
testing, 35, 0.7671096801757813, -2.4512905359268187, 0
training, 36, 0.7299093655177525, -2.424020174571446, 0
validating, 36, 0.8810542583465576, -2.460832357406616, 0
testing, 36, 0.765774416923523, -2.4528892040252686, 0
training, 37, 0.7297520160675048, -2.423494509288243, 0
validating, 37, 0.8829164028167724, -2.463347387313843, 0
testing, 37, 0.7660218238830566, -2.453481674194336, 0
training, 38, 0.7292691843850272, -2.422762223652431, 0
validating, 38, 0.8806475162506103, -2.4623825550079346, 0
testing, 38, 0.7659446001052856, -2.4528659105300905, 0
training, 39, 0.728074938910348, -2.4230751514434816, 0
validating, 39, 0.8830004215240479, -2.463289260864258, 0
testing, 39, 0.7658773899078369, -2.453410792350769, 0
training, 40, 0.7291519914354597, -2.4226674624851774, 0
validating, 40, 0.8816108703613281, -2.4611034393310547, 0
testing, 40, 0.7654154062271118, -2.4527945041656496, 0
training, 41, 0.7285658972603934, -2.42266571862357, 0
validating, 41, 0.885158109664917, -2.463510513305664, 0
testing, 41, 0.7657468318939209, -2.4538392782211305, 0
training, 42, 0.7311404091971261, -2.4228501524244037, 0
validating, 42, 0.8850724697113037, -2.463043737411499, 0
testing, 42, 0.7657390594482422, -2.453998565673828, 0
training, 43, 0.7286363329206195, -2.4214689935956684, 0
validating, 43, 0.884718656539917, -2.4617270469665526, 0
testing, 43, 0.7649325370788574, -2.4534995317459107, 0
training, 44, 0.7292575018746512, -2.4216913631984167, 0
validating, 44, 0.8853321552276612, -2.462275266647339, 0
testing, 44, 0.764848256111145, -2.4536808490753175, 0
training, 45, 0.7291467939104352, -2.4214387825557164, 0
validating, 45, 0.8893149852752685, -2.4635288238525392, 0
testing, 45, 0.7652264356613159, -2.45441575050354, 0
training, 46, 0.7310059070587158, -2.4215169157300678, 0
validating, 46, 0.8904751300811767, -2.46420636177063, 0
testing, 46, 0.7653264999389648, -2.4546785593032836, 0
training, 47, 0.7316863468715122, -2.4221412454332625, 0
validating, 47, 0.8915252208709716, -2.465045213699341, 0
testing, 47, 0.7654831647872925, -2.455025815963745, 0
training, 48, 0.7300682067871094, -2.421187148775373, 0
validating, 48, 0.8877947807312012, -2.462874507904053, 0
testing, 48, 0.7649268388748169, -2.454104948043823, 0
training, 49, 0.7303190912519183, -2.421459661211286, 0
validating, 49, 0.8905860424041748, -2.465319347381592, 0
testing, 49, 0.7651407241821289, -2.4547985315322878, 0
training, 50, 0.7291724000658307, -2.4209568296160016, 0
validating, 50, 0.8865241527557373, -2.463309574127197, 0
testing, 50, 0.7650603532791138, -2.4538028955459597, 0
training, 51, 0.7282123497554234, -2.4204693589891706, 0
validating, 51, 0.8889165878295898, -2.464084339141846, 0
testing, 51, 0.7646013975143433, -2.4542792558670046, 0
training, 52, 0.7288463456290108, -2.4203566687447684, 0
validating, 52, 0.889255952835083, -2.4640785217285157, 0
testing, 52, 0.7646208763122558, -2.4542825698852537, 0
training, 53, 0.728650392804827, -2.4202922616686138, 0
validating, 53, 0.8899199962615967, -2.4643951892852782, 0
testing, 53, 0.7647151708602905, -2.4544323205947878, 0
training, 54, 0.7298940590449742, -2.4207250458853586, 0
validating, 54, 0.8922783374786377, -2.4653340339660645, 0
testing, 54, 0.7649742364883423, -2.4549457311630247, 0
training, 55, 0.7302420820508685, -2.4205248151506695, 0
validating, 55, 0.8922201633453369, -2.464314603805542, 0
testing, 55, 0.7649037361145019, -2.4547570943832397, 0
training, 56, 0.7317011492592947, -2.420514454160418, 0
validating, 56, 0.8951048851013184, -2.4658377170562744, 0
testing, 56, 0.7653592109680176, -2.4554306507110595, 0
training, 57, 0.7314848218645368, -2.420637083053589, 0
validating, 57, 0.8946295738220215, -2.465687084197998, 0
testing, 57, 0.765380072593689, -2.455318784713745, 0
training, 58, 0.7314029489244733, -2.420644637516567, 0
validating, 58, 0.8960107326507568, -2.4665436267852785, 0
testing, 58, 0.7656659841537475, -2.455741357803345, 0
training, 59, 0.7311696665627616, -2.4204642023359026, 0
validating, 59, 0.8952180862426757, -2.466056299209595, 0
testing, 59, 0.7655421495437622, -2.455528426170349, 0
training, 60, 0.7315138680594307, -2.4205240317753383, 0
validating, 60, 0.896227502822876, -2.466612148284912, 0
testing, 60, 0.7656825065612793, -2.455712842941284, 0
training, 61, 0.7320845467703683, -2.420565482548305, 0
validating, 61, 0.8968525886535644, -2.4667282581329344, 0
