Random seed, 26
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, -6.811959402901785e-08, -4.983487061091831, 0
validating, -1, 0.0, -4.824324417114258, 0
testing, -1, -1.9073486328125e-07, -5.003219032287598, 0
training, 0, 2.0831383909497942, -5.471392100197928, 0
validating, 0, 2.0037107467651367, -5.448053646087646, 0
testing, 0, 2.135466432571411, -5.474726724624634, 0
training, 1, 2.0203702858516146, -5.450756277356829, 0
validating, 1, 1.8469350814819336, -5.3872607231140135, 0
testing, 1, 1.9864282608032227, -5.406220293045044, 0
training, 2, 1.9314636843545097, -5.385565948486328, 0
validating, 2, 1.7554390907287598, -5.346073913574219, 0
testing, 2, 1.9116159439086915, -5.360063171386718, 0
training, 3, 1.8688394614628383, -5.333375331333706, 0
validating, 3, 1.7156438827514648, -5.304187965393067, 0
testing, 3, 1.863293218612671, -5.30391263961792, 0
training, 4, 1.8243342058999197, -5.282759325844901, 0
validating, 4, 1.6581531524658204, -5.27499418258667, 0
testing, 4, 1.8148036003112793, -5.273892879486084, 0
training, 5, 1.796554490498134, -5.2650829042707175, 0
validating, 5, 1.6710780143737793, -5.2662886619567875, 0
testing, 5, 1.810405969619751, -5.271799850463867, 0
training, 6, 1.777631003516061, -5.254535170963832, 0
validating, 6, 1.6375709533691407, -5.249016380310058, 0
testing, 6, 1.768437147140503, -5.297999572753906, 0
training, 7, 1.7675283908843995, -5.255109064919608, 0
validating, 7, 1.6341538429260254, -5.250968933105469, 0
testing, 7, 1.7623091220855713, -5.253887796401978, 0
training, 8, 1.7555803912026542, -5.269231169564383, 0
validating, 8, 1.6552107810974122, -5.251719760894775, 0
testing, 8, 1.7559783458709717, -5.259752655029297, 0
training, 9, 1.738764796938215, -5.244012260437012, 0
validating, 9, 1.6477396965026856, -5.245237064361572, 0
testing, 9, 1.7437308788299561, -5.254122591018676, 0
training, 10, 1.7427620547158378, -5.2569411141531805, 0
validating, 10, 1.630588436126709, -5.231594467163086, 0
testing, 10, 1.7671160221099853, -5.241250944137573, 0
training, 11, 1.7390260219573974, -5.291058472224644, 0
