Random seed, 49
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 4.76837158203125e-08, -4.075895745413644, 0
validating, -1, 9.5367431640625e-08, -4.141838264465332, 0
testing, -1, 1.430511474609375e-07, -4.10269558429718, 0
training, 0, 4.433728831154959, -5.378039496285575, 0
validating, 0, 5.355571269989014, -5.671479606628418, 0
testing, 0, 4.975868844985962, -5.6959587097167965, 0
training, 1, 2.0448149612971713, -4.860562556130546, 0
validating, 1, 1.8008432388305664, -4.8121795654296875, 0
testing, 1, 1.6028480529785156, -4.771353626251221, 0
training, 2, 1.4569559846605573, -4.689701788766044, 0
validating, 2, 1.6907737731933594, -4.753857517242432, 0
testing, 2, 1.4814607620239257, -4.724763870239258, 0
training, 3, 1.4494528157370432, -4.679979010990688, 0
validating, 3, 1.6197633743286133, -4.72175178527832, 0
testing, 3, 1.4136791706085206, -4.702589750289917, 0
training, 4, 1.4293611458369664, -4.676139450073242, 0
validating, 4, 1.6504569053649902, -4.729459190368653, 0
testing, 4, 1.4377051830291747, -4.709736061096192, 0
training, 5, 1.4308443546295166, -4.677227960314069, 0
validating, 5, 1.6813886642456055, -4.743453693389893, 0
testing, 5, 1.4717171669006348, -4.721399402618408, 0
training, 6, 1.4201342242104666, -4.6688719068254745, 0
validating, 6, 1.6805038452148438, -4.742266845703125, 0
testing, 6, 1.4768640041351317, -4.722758436203003, 0
training, 7, 1.4222820895058768, -4.66915819985526, 0
validating, 7, 1.7178568840026855, -4.7592720031738285, 0
testing, 7, 1.5220287799835206, -4.740561771392822, 0
training, 8, 1.389384971346174, -4.669287749699184, 0
validating, 8, 1.56793212890625, -4.694283103942871, 0
testing, 8, 1.362616729736328, -4.687742233276367, 0
training, 9, 1.4058269705091204, -4.666007546016148, 0
validating, 9, 1.5212166786193848, -4.668167209625244, 0
testing, 9, 1.2953535556793212, -4.674384641647339, 0
training, 10, 1.3756846359797887, -4.6603065082005095, 0
validating, 10, 1.5784602165222168, -4.696759414672852, 0
testing, 10, 1.3755779266357422, -4.692745399475098, 0
training, 11, 1.3693129471370151, -4.654764434269496, 0
validating, 11, 1.5855709075927735, -4.701243591308594, 0
testing, 11, 1.3925604343414306, -4.7000102519989015, 0
training, 12, 1.4342618192945207, -4.670948941367013, 0
validating, 12, 1.5970873832702637, -4.70715217590332, 0
testing, 12, 1.4077871799468995, -4.7063556671142575, 0
training, 13, 1.3590041092463903, -4.650821999141148, 0
validating, 13, 1.589193630218506, -4.70409460067749, 0
testing, 13, 1.4014681339263917, -4.705882215499878, 0
training, 14, 1.3786225250789097, -4.652033601488386, 0
validating, 14, 1.4976832389831543, -4.663046836853027, 0
testing, 14, 1.3142967700958252, -4.680714321136475, 0
training, 15, 1.3638092654091971, -4.649980177198137, 0
validating, 15, 1.5371339797973633, -4.6861443519592285, 0
testing, 15, 1.3354426383972169, -4.6829808235168455, 0
training, 16, 1.3739449432918003, -4.649229213169643, 0
validating, 16, 1.5710893630981446, -4.699182033538818, 0
testing, 16, 1.3949017524719238, -4.706572198867798, 0
training, 17, 1.3636104379381453, -4.64323365347726, 0
validating, 17, 1.4827157020568849, -4.656152439117432, 0
testing, 17, 1.28768892288208, -4.675144910812378, 0
training, 18, 1.372760602406093, -4.660415758405413, 0
validating, 18, 1.7258519172668456, -4.776841735839843, 0
