Random seed, 17
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 0.0, -1.1024155131408147, 0.0
validating, -1, 0.0, -1.104088258743286, 0.0
testing, -1, 0.0, -1.1179249584674835, 0.0
training, 0, 1.7339474167142594, -1.1001319016729083, 0.0
validating, 0, 1.7182916522026062, -1.1014062881469726, 0.0
testing, 0, 1.757475882768631, -1.1079629421234132, 0.0
training, 1, 1.6889907666615078, -1.1001319016729083, 0.0
validating, 1, 1.5328183889389038, -1.1014062881469726, 0.0
testing, 1, 1.57313374876976, -1.1079629421234132, 0.0
training, 2, 1.4702832681792124, -1.100865043912615, 0.0
validating, 2, 1.4473791718482971, -1.1033769965171814, 0.0
testing, 2, 1.4038440734148026, -1.108208966255188, 0.0
training, 3, 1.3987951585224696, -1.1040315679141453, 0.0
validating, 3, 1.441940724849701, -1.1014774560928344, 0.0
testing, 3, 1.3703308641910552, -1.107962954044342, 0.0
training, 4, 1.3807103438036783, -1.1014481697763716, 0.0
validating, 4, 1.4546379327774048, -1.103951096534729, 0.0
testing, 4, 1.3322699308395385, -1.108216905593872, 0.0
training, 5, 1.3636257324899945, -1.1021847231047495, 0.0
validating, 5, 1.4494229137897492, -1.1029041528701782, 0.0
testing, 5, 1.3120378762483598, -1.107962954044342, 0.0
training, 6, 1.3520183827195849, -1.1021241528647288, 0.0
validating, 6, 1.4375169038772584, -1.1031156063079834, 0.0
testing, 6, 1.3076775699853898, -1.1083485007286071, 0.0
training, 7, 1.3386517686503274, -1.1041194064276558, 0.0
validating, 7, 1.4752641141414642, -1.1043012857437133, 0.0
testing, 7, 1.2994065701961517, -1.1098501265048981, 0.0
training, 8, 1.3310232775551931, -1.1030589137758529, 0.0
validating, 8, 1.4090850114822389, -1.1029403924942016, 0.0
testing, 8, 1.29438074529171, -1.1086048841476441, 0.0
training, 9, 1.3074128295694079, -1.1012804423059737, 0.0
validating, 9, 1.4252006113529205, -1.104377555847168, 0.0
testing, 9, 1.2469343066215515, -1.1090186953544616, 0.0
training, 10, 1.29814327614648, -1.101942205429077, 0.0
validating, 10, 1.4096592485904693, -1.103037464618683, 0.0
testing, 10, 1.2844623684883119, -1.1083977162837981, 0.0
training, 11, 1.2932470168386188, -1.1014151368822371, 0.0
validating, 11, 1.3857745230197906, -1.1035870671272279, 0.0
testing, 11, 1.2575473636388779, -1.109055405855179, 0.0
training, 12, 1.2755021350724356, -1.101667903150831, 0.0
validating, 12, 1.4017299294471741, -1.1046671271324158, 0.0
testing, 12, 1.255318468809128, -1.1097043812274934, 0.0
training, 13, 1.2773612797260285, -1.1029688971383231, 0.0
validating, 13, 1.3659940600395202, -1.1093231558799743, 0.0
testing, 13, 1.2686722964048385, -1.1084758162498474, 0.0
training, 14, 1.260475082908358, -1.1014385921614511, 0.0
validating, 14, 1.3885314166545868, -1.1139515161514282, 0.0
testing, 14, 1.2098949640989303, -1.1110545635223388, 0.0
training, 15, 1.2635748020240238, -1.1010061962263924, 0.0
validating, 15, 1.3692717850208282, -1.111738634109497, 0.0
testing, 15, 1.2650293022394181, -1.110541570186615, 0.0
training, 16, 1.2715084842273168, -1.1012355055127825, 0.0
validating, 16, 1.4347740292549134, -1.1144902467727662, 0.0
testing, 16, 1.243424755334854, -1.1079966008663178, 0.0
training, 17, 1.2538809887000493, -1.1032071079526629, 0.0
validating, 17, 1.4118498980998992, -1.109874165058136, 0.0
testing, 17, 1.2500131726264954, -1.1079629421234132, 0.0
training, 18, 1.2458781182765961, -1.1016109841210502, 0.0
validating, 18, 1.363704788684845, -1.114072561264038, 0.0
testing, 18, 1.223791927099228, -1.1084339141845703, 0.0
training, 19, 1.2520994876112257, -1.1031880906649998, 0.0
validating, 19, 1.3896044135093688, -1.1108234405517579, 0.0
testing, 19, 1.2891088634729386, -1.1179676532745362, 0.0
training, 20, 1.2659702845982144, -1.103174935068403, 0.0
validating, 20, 1.3495077192783356, -1.119295859336853, 0.0
testing, 20, 1.2033929705619812, -1.108518862724304, 0.0
training, 21, 1.2468780500548227, -1.1014086825507028, 0.0
validating, 21, 1.35892134308815, -1.120893692970276, 0.0
testing, 21, 1.2279908925294876, -1.1118998110294342, 0.0
training, 22, 1.2326427783284868, -1.1031259758131844, 0.0
validating, 22, 1.3818926155567168, -1.1165982961654664, 0.0
