mode, epoch, average loss, defender utility
training, -1, 0.30090200273053985, -2.41336333325931, 0.0
validating, -1, 0.24529375098645687, -1.6371240735054016, 0.0
testing, -1, 0.18288777619600297, -2.161013814806938, 0.0
training, 0, 1.4696032455989292, -3.1559449808938163, 0.0
validating, 0, 1.5888242244720459, -3.1394022941589355, 0.0
testing, 0, 1.4327290177345275, -3.190566635131836, 0.0
training, 1, 1.4617843219212123, -3.1543519088200163, 0.0
validating, 1, 1.5538148880004883, -3.1224020957946776, 0.0
testing, 1, 1.4008339285850524, -3.1798756599426268, 0.0
training, 2, 1.3395597696304322, -3.113261549813407, 0.0
validating, 2, 1.2168424367904662, -2.9091259002685548, 0.0
testing, 2, 1.0945871949195862, -3.0268085956573487, 0.0
training, 3, 0.8681645452976227, -2.877224019595555, 0.0
validating, 3, 0.572771555185318, -2.388631319999695, 0.0
testing, 3, 0.5051830187439919, -2.592059314250946, 0.0
training, 4, 0.5147020448531423, -2.676473437036787, 0.0
validating, 4, 0.3894368827342987, -1.9088814496994018, 0.0
testing, 4, 0.33981677144765854, -2.2978890776634215, 0.0
training, 5, 0.4929913609155587, -2.5638334478650773, 0.0
validating, 5, 0.3660927962511778, -1.8204402327537537, 0.0
testing, 5, 0.3299497738480568, -2.2047484308481216, 0.0
training, 6, 0.49791199692658017, -2.5339082845619747, 0.0
validating, 6, 0.3642841335386038, -1.5307536661624908, 0.0
testing, 6, 0.33912294171750546, -2.198824667930603, 0.0
training, 7, 0.5126886965440852, -2.5238920875958035, 0.0
validating, 7, 0.36019097827374935, -1.5357131659984589, 0.0
testing, 7, 0.3389046180061996, -2.195431533444207, 0.0
training, 8, 0.51018775084189, -2.53834643959999, 0.0
validating, 8, 0.3560376390814781, -1.525372052192688, 0.0
testing, 8, 0.3280292572453618, -2.191031041741371, 0.0
training, 9, 0.5041928346135787, -2.538430121115276, 0.0
validating, 9, 0.3543143540620804, -1.5336712896823883, 0.0
testing, 9, 0.33320315200835465, -2.1892894089221953, 0.0
training, 10, 0.4952693022787571, -2.5255999318190985, 0.0
validating, 10, 0.3518956169486046, -1.528579866886139, 0.0
testing, 10, 0.3282273203134537, -2.188836878538132, 0.0
training, 11, 0.4818785111818995, -2.5231581117425645, 0.0
validating, 11, 0.34810262769460676, -1.5252579271793365, 0.0
testing, 11, 0.3221239107660949, -2.1871219515800475, 0.0
training, 12, 0.4635919385190521, -2.5214830926486425, 0.0
validating, 12, 0.3457122128456831, -1.520082449913025, 0.0
testing, 12, 0.31649084724485876, -2.1848768651485444, 0.0
training, 13, 0.45507777620639117, -2.5089785729135787, 0.0
validating, 13, 0.34554884769022465, -1.521358895301819, 0.0
testing, 13, 0.3174040149897337, -2.184832739830017, 0.0
training, 14, 0.4554647025785276, -2.5083528084414346, 0.0
validating, 14, 0.34548853412270547, -1.5227532088756561, 0.0
testing, 14, 0.3184890575706959, -2.184635078907013, 0.0
training, 15, 0.4540335421051298, -2.50862392783165, 0.0
validating, 15, 0.3450991928577423, -1.5221301734447479, 0.0
testing, 15, 0.31771096903830764, -2.184198608994484, 0.0
training, 16, 0.4545580705361707, -2.5078006667750223, 0.0
validating, 16, 0.34502219334244727, -1.5228276371955871, 0.0
testing, 16, 0.31824197974056007, -2.1846446216106417, 0.0
training, 17, 0.4558441555925778, -2.5080835691520145, 0.0
validating, 17, 0.34496465101838114, -1.524235063791275, 0.0
testing, 17, 0.3193437047302723, -2.184619200229645, 0.0
training, 18, 0.45729898581547396, -2.5081741026469637, 0.0
validating, 18, 0.34487575106322765, -1.5243756353855134, 0.0
testing, 18, 0.3193920678459108, -2.1845728039741514, 0.0
training, 19, 0.45682383057262216, -2.5071864358016422, 0.0
validating, 19, 0.3445441864430904, -1.5244291007518769, 0.0
testing, 19, 0.31920151244848965, -2.1844410061836244, 0.0
mode, epoch, average loss, defender utility
training, -1, 0.12810350491532257, -1.7234068066297499, 0.0
validating, -1, 0.22391749173402786, -1.1867850363254546, 0.0
testing, -1, 0.10505147948861122, -1.1306682094931602, 0.0
training, 0, 2.4153440747942243, -5.520388793945313, 0.0
validating, 0, 1.6055775880813599, -5.5180682182312015, 0.0
testing, 0, 3.7995482623577117, -5.5447934627532955, 0.0
training, 1, 2.3964951361928666, -5.564677333831787, 0.0
validating, 1, 1.5838744163513183, -4.272388458251953, 0.0
testing, 1, 3.667817485332489, -3.9629849433898925, 0.0
training, 2, 2.0051649161747522, -4.804369470051356, 0.0
validating, 2, 1.4329760074615479, -3.4422183513641356, 0.0
testing, 2, 2.743402224779129, -3.75492844581604, 0.0
training, 3, 1.3245491981506348, -3.127443831307547, 0.0
validating, 3, 1.117049467563629, -2.955133628845215, 0.0
testing, 3, 1.2611129641532899, -2.831882905960083, 0.0
training, 4, 0.6267088013834187, -2.33007880960192, 0.0
validating, 4, 0.6062984190881252, -0.954609233490919, 0.0
testing, 4, 0.14580531977117062, -0.8346890164662909, 0.0
training, 5, 0.36584657121815584, -1.3549177335322644, 0.0
validating, 5, 0.6126574151683599, -1.0433536410331725, 0.0
testing, 5, 0.13508260452654214, -0.6106492329610773, 0.0
training, 6, 0.361108361096454, -1.343433807459376, 0.0
validating, 6, 0.6070843106601387, -1.0616617500879328, 0.0
testing, 6, 0.1377886808477342, -0.5787518133539834, 0.0
training, 7, 0.3803401383180504, -1.3476989830743225, 0.0
validating, 7, 0.5966702826786786, -1.0634897649434607, 0.0
testing, 7, 0.13816686458885669, -0.5785770004745927, 0.0
training, 8, 0.36647999579519297, -1.3366915813524056, 0.0
validating, 8, 0.575752554112114, -1.0636863410570185, 0.0
testing, 8, 0.13844441398978233, -0.5791872687829255, 0.0
training, 9, 0.35784275374940727, -1.3350777855491232, 0.0
validating, 9, 0.5602106025908142, -1.0626982927468815, 0.0
testing, 9, 0.13894562061177568, -0.5819024114144667, 0.0
training, 10, 0.3523510355810036, -1.3412635879887083, 0.0
validating, 10, 0.5451572479214519, -1.0604259431459468, 0.0
testing, 10, 0.14023008882068097, -0.5907445218667817, 0.0
training, 11, 0.3404684962155963, -1.3328619616402129, 0.0
validating, 11, 0.5269326732959598, -1.0632754862454932, 0.0
testing, 11, 0.14282800460932776, -0.5873441022143198, 0.0
training, 12, 0.3530937179956319, -1.3429774633500593, 0.0
validating, 12, 0.5376846549566835, -1.066881436109543, 0.0
testing, 12, 0.14430267671123148, -0.5827040955424309, 0.0
training, 13, 0.34977429397819965, -1.3259180452170052, 0.0
validating, 13, 0.539332906389609, -1.0732530057401164, 0.0
testing, 13, 0.1446018525515683, -0.5771289635550602, 0.0
