mode, epoch, average loss, defender utility
training, -1, 0.18875464307410375, -3.2151650633130755, 0.0
validating, -1, 0.15541576016694308, -2.9539042472839356, 0.0
testing, -1, 0.12258081473410129, -3.2197521924972534, 0.0
training, 0, 1.3792155981063843, -3.76888667515346, 0.0
validating, 0, 1.398083782196045, -3.775154542922974, 0.0
testing, 0, 1.4078925371170044, -3.792103123664856, 0.0
training, 1, 1.3667284011840821, -3.7617558138711114, 0.0
validating, 1, 1.3287321090698243, -3.7267708778381348, 0.0
testing, 1, 1.3427670001983643, -3.7497301578521727, 0.0
training, 2, 1.1211800490106856, -3.576974923270089, 0.0
validating, 2, 0.7030356168746948, -3.2208763122558595, 0.0
testing, 2, 0.744783741235733, -3.330366516113281, 0.0
training, 3, 0.5637642157929285, -3.2690572125571116, 0.0
validating, 3, 0.3226933844387531, -2.949676036834717, 0.0
testing, 3, 0.2674256473779678, -3.1183221340179443, 0.0
training, 4, 0.35903246040855136, -3.190803759438651, 0.0
validating, 4, 0.28870757948607206, -2.9846539974212645, 0.0
testing, 4, 0.19848172068595887, -3.1504860639572145, 0.0
training, 5, 0.30068699259843146, -3.1951355593545094, 0.0
validating, 5, 0.25264342930167916, -2.9833860874176024, 0.0
testing, 5, 0.17485884055495263, -3.160167670249939, 0.0
training, 6, 0.2669618847114699, -3.2061479227883476, 0.0
validating, 6, 0.2336904790252447, -2.985718870162964, 0.0
testing, 6, 0.15788880307227374, -3.182237696647644, 0.0
training, 7, 0.24368635565042496, -3.2010338170187813, 0.0
validating, 7, 0.2076667357236147, -2.9744254112243653, 0.0
testing, 7, 0.14957496263086795, -3.174975872039795, 0.0
training, 8, 0.2281042660985674, -3.2004879474639893, 0.0
validating, 8, 0.19583389908075333, -2.971195936203003, 0.0
testing, 8, 0.13884934317320585, -3.190100884437561, 0.0
training, 9, 0.2172111377120018, -3.201344108581543, 0.0
validating, 9, 0.18720874637365342, -2.966832685470581, 0.0
testing, 9, 0.13492783457040786, -3.195459270477295, 0.0
training, 10, 0.21297477771128928, -3.1971423625946045, 0.0
validating, 10, 0.1813287116587162, -2.96888952255249, 0.0
testing, 10, 0.13070091530680655, -3.205177569389343, 0.0
training, 11, 0.2067725126498512, -3.2047202927725658, 0.0
validating, 11, 0.17606731541454793, -2.944873332977295, 0.0
testing, 11, 0.13060541898012162, -3.1964391469955444, 0.0
training, 12, 0.20321090056427887, -3.1914876665387837, 0.0
validating, 12, 0.17330341143533587, -2.9463661193847654, 0.0
