Random seed, 4
mode, epoch, average loss, defender utility, simulated defender utility
training, -1, 0.30993073327200754, -0.5259146384096571, 0.0
validating, -1, 0.29721722602844236, -0.5709671653807163, 0.0
testing, -1, 0.30249199867248533, -0.6489934146404266, 0.0
training, 0, 5.936420222691127, -0.7535538852214814, 0.0
validating, 0, 5.065409374237061, -0.7569866746664047, 0.0
testing, 0, 6.225995278358459, -0.7640774101018906, 0.0
training, 1, 5.835516064507621, -0.7428797938993998, 0.0
validating, 1, 4.791348552703857, -0.6976697340607643, 0.0
testing, 1, 6.1190438032150265, -0.7513442017138005, 0.0
training, 2, 5.729399633407593, -0.711729525242533, 0.0
validating, 2, 4.737322807312012, -0.6829318583011628, 0.0
testing, 2, 6.053069591522217, -0.7260756000876427, 0.0
training, 3, 5.716449662617275, -0.7284992722528322, 0.0
validating, 3, 4.707208251953125, -0.688453309237957, 0.0
testing, 3, 6.073628520965576, -0.748488049954176, 0.0
training, 4, 5.7178023951394215, -0.7125737381832941, 0.0
validating, 4, 4.840009880065918, -0.7097456157207489, 0.0
testing, 4, 6.013857841491699, -0.7444864019751549, 0.0
training, 5, 5.802526072093419, -0.7746122917958669, 0.0
validating, 5, 4.947282600402832, -0.7617932051420212, 0.0
testing, 5, 6.065688037872315, -0.9116303160786629, 0.0
training, 6, 5.799765307562692, -0.7532206899353436, 0.0
validating, 6, 4.818027591705322, -0.6919736996293068, 0.0
testing, 6, 6.050097537040711, -0.7341000035405159, 0.0
training, 7, 5.75919988495963, -0.7076814967606749, 0.0
validating, 7, 4.867960643768311, -0.6939079448580742, 0.0
testing, 7, 6.059706163406372, -0.7551650188863277, 0.0
training, 8, 5.797490126746041, -0.7111041880079678, 0.0
validating, 8, 4.861755752563477, -0.6956068217754364, 0.0
testing, 8, 6.0654541015625, -0.7384725861251354, 0.0
training, 9, 5.804031065532139, -0.7211486392787525, 0.0
validating, 9, 4.901916408538819, -0.6981938809156418, 0.0
testing, 9, 6.05440468788147, -0.7237615242600441, 0.0
training, 10, 5.791158832822528, -0.709066571614572, 0.0
validating, 10, 4.903200149536133, -0.7317445307970047, 0.0
testing, 10, 6.059575414657592, -0.7564001195132732, 0.0
training, 11, 5.8357420308249335, -0.8099816260593278, 0.0
validating, 11, 4.8745832443237305, -0.6956123679876327, 0.0
testing, 11, 6.0580912113189695, -0.7305873215198517, 0.0
training, 12, 5.764854982921055, -0.7129466949829033, 0.0
validating, 12, 4.85947551727295, -0.6933242157101631, 0.0
testing, 12, 6.046824193000793, -0.7321017257869243, 0.0
training, 13, 5.771681342806135, -0.7139672585896083, 0.0
validating, 13, 4.862299633026123, -0.6964038580656051, 0.0
testing, 13, 6.048089838027954, -0.7308932796120644, 0.0
training, 14, 5.778195129122053, -0.7086118862032891, 0.0
validating, 14, 4.847523212432861, -0.6946349680423737, 0.0
testing, 14, 6.055769777297973, -0.7341646693646908, 0.0
training, 15, 5.763625397000994, -0.7083813473582268, 0.0
validating, 15, 4.8787946701049805, -0.69486685693264, 0.0
testing, 15, 6.06888747215271, -0.7201098799705505, 0.0
training, 16, 5.768704393931798, -0.7066278147910322, 0.0
validating, 16, 4.851973628997802, -0.6947261527180671, 0.0
testing, 16, 6.058451366424561, -0.731306554377079, 0.0
training, 17, 5.7694539546966555, -0.7091425008007458, 0.0
validating, 17, 4.861203384399414, -0.6938600212335586, 0.0
testing, 17, 6.0525706768035885, -0.725907988846302, 0.0
training, 18, 5.772046586445399, -0.7148967290563243, 0.0
validating, 18, 4.876430606842041, -0.6970150202512742, 0.0
testing, 18, 6.051496696472168, -0.7336584910750389, 0.0
training, 19, 5.778233194351197, -0.7259781272283622, 0.0
validating, 19, 4.872424983978272, -0.7118559688329696, 0.0
testing, 19, 6.044664764404297, -0.7241267167031765, 0.0
training, 20, 5.77889199256897, -0.7271616860159806, 0.0
validating, 20, 4.872287368774414, -0.6932609856128693, 0.0
testing, 20, 6.04492335319519, -0.7305818103253842, 0.0
training, 21, 5.788702004296439, -0.7130347626549857, 0.0
validating, 21, 4.890809631347656, -0.6945636630058288, 0.0
testing, 21, 6.058986520767212, -0.7334384769201279, 0.0
training, 22, 5.795492928368705, -0.715352029566254, 0.0
validating, 22, 4.888453102111816, -0.7103658497333527, 0.0
testing, 22, 6.058001136779785, -0.7303387232124805, 0.0
training, 23, 5.823298665455409, -0.7270919355962958, 0.0
validating, 23, 4.880976390838623, -0.6932518720626831, 0.0
testing, 23, 6.075462579727173, -0.711009930074215, 0.0
training, 24, 5.80292946270534, -0.7360816370163645, 0.0
validating, 24, 4.880154991149903, -0.6919368132948875, 0.0
testing, 24, 6.0753600120544435, -0.7259625881910324, 0.0
training, 25, 5.816158955437796, -0.7493020325899125, 0.0
validating, 25, 4.896069812774658, -0.6931071430444717, 0.0
testing, 25, 6.076021337509156, -0.752932196855545, 0.0
training, 26, 5.790663358143398, -0.7087589638573782, 0.0
validating, 26, 4.843487167358399, -0.6884198695421219, 0.0
testing, 26, 6.08553786277771, -0.730688714236021, 0.0
training, 27, 5.776499346324376, -0.7131572674427714, 0.0
validating, 27, 4.874122142791748, -0.7054096728563308, 0.0
testing, 27, 6.0637187480926515, -0.7661891974508762, 0.0
training, 28, 5.7753138201577325, -0.7153738235788686, 0.0
validating, 28, 4.874235343933106, -0.7357680231332779, 0.0
testing, 28, 6.06575379371643, -0.7905263267457485, 0.0
training, 29, 5.771249668938773, -0.7585915999753134, 0.0
validating, 29, 4.915936851501465, -0.7650210171937942, 0.0
testing, 29, 6.065773439407349, -0.7904856652021408, 0.0
training, 30, 5.80089624268668, -0.8794478318520955, 0.0
validating, 30, 4.9011070251464846, -0.7649556308984756, 0.0
testing, 30, 6.064605760574341, -0.7899214163422584, 0.0
training, 31, 5.7996377195630755, -0.7593795569879668, 0.0
validating, 31, 4.905704975128174, -0.7407293513417244, 0.0
testing, 31, 6.07243537902832, -0.7688868440687656, 0.0
training, 32, 5.776700694220406, -0.7269125227417265, 0.0
validating, 32, 4.8908384323120115, -0.7076180875301361, 0.0
testing, 32, 6.108540821075439, -0.806918803602457, 0.0
training, 33, 5.792951004845755, -0.7338030861956732, 0.0
validating, 33, 4.893634700775147, -0.7381714046001434, 0.0
testing, 33, 6.0811303615570065, -0.793126729875803, 0.0
training, 34, 5.798233366012573, -0.7467672861048154, 0.0
validating, 34, 4.90506763458252, -0.7094087272882461, 0.0
testing, 34, 6.091822814941406, -0.7797803528606891, 0.0
training, 35, 5.814671019145421, -0.7244261219033173, 0.0
validating, 35, 4.87018051147461, -0.7041210055351257, 0.0
testing, 35, 6.078732061386108, -0.7682764045894146, 0.0
training, 36, 5.792832381384713, -0.7193929010203907, 0.0
validating, 36, 4.860111713409424, -0.6874121189117431, 0.0
testing, 36, 6.082361364364624, -0.766140066832304, 0.0
training, 37, 5.773553010395595, -0.7141253328749112, 0.0
validating, 37, 4.875986003875733, -0.7221850842237473, 0.0
testing, 37, 6.081158113479614, -0.7550808683037757, 0.0
training, 38, 5.782574169976371, -0.7131676092743874, 0.0
validating, 38, 4.920365333557129, -0.7231891572475433, 0.0
testing, 38, 6.104855418205261, -0.7626074939966202, 0.0
training, 39, 5.792488527297974, -0.7139842464455537, 0.0
validating, 39, 4.857208251953125, -0.6850114360451698, 0.0
testing, 39, 6.1000920057296755, -0.7209813326597214, 0.0
training, 40, 5.7532075541360035, -0.7086044167833668, 0.0
validating, 40, 4.80263032913208, -0.6785682290792465, 0.0
testing, 40, 6.154243111610413, -0.7254699170589447, 0.0
training, 41, 5.759221805844988, -0.7105513232094901, 0.0
validating, 41, 4.797615432739258, -0.683144548535347, 0.0
testing, 41, 6.085845208168029, -0.7282312378287316, 0.0
training, 42, 5.763139540808542, -0.7083263234368392, 0.0
validating, 42, 4.858771800994873, -0.6856412649154663, 0.0
testing, 42, 6.084772634506225, -0.7264043807983398, 0.0
training, 43, 5.781280415398734, -0.713177711303745, 0.0
validating, 43, 4.84836368560791, -0.6837046205997467, 0.0
testing, 43, 6.081753253936768, -0.7259443767368794, 0.0
training, 44, 5.789252410616194, -0.7214941003492901, 0.0
validating, 44, 4.8663434982299805, -0.6863342732191086, 0.0
testing, 44, 6.074821925163269, -0.730576066672802, 0.0
training, 45, 5.793926313945225, -0.7146131525082248, 0.0
validating, 45, 4.8556512832641605, -0.6901678130030632, 0.0
testing, 45, 6.069581365585327, -0.7328038029372692, 0.0
training, 46, 5.789663130896432, -0.7092619787369455, 0.0
validating, 46, 4.852451801300049, -0.6868239194154739, 0.0
testing, 46, 6.089564204216003, -0.7303339868783951, 0.0
training, 47, 5.7816053458622525, -0.7085024669766427, 0.0
validating, 47, 4.805900001525879, -0.6840094432234765, 0.0
testing, 47, 6.108745002746582, -0.7348690129816532, 0.0
training, 48, 5.777376822062901, -0.7104912291680063, 0.0
validating, 48, 4.819182109832764, -0.6855891406536102, 0.0
testing, 48, 6.110420846939087, -0.7342443905770779, 0.0
training, 49, 5.774134533745902, -0.7123665196555001, 0.0
validating, 49, 4.802130699157715, -0.6857564672827721, 0.0
testing, 49, 6.114914107322693, -0.738662202656269, 0.0
training, 50, 5.758492428915841, -0.710105326133115, 0.0
validating, 50, 4.836850357055664, -0.6846125274896622, 0.0
testing, 50, 6.113874912261963, -0.724630881845951, 0.0
training, 51, 5.780244895390102, -0.7081713289022445, 0.0
validating, 51, 4.826318454742432, -0.6845907673239708, 0.0
testing, 51, 6.110935354232788, -0.7261846005916596, 0.0
training, 52, 5.785705832072667, -0.7064829131322248, 0.0
validating, 52, 4.843179988861084, -0.6875612691044808, 0.0
testing, 52, 6.089217782020569, -0.7220430418848991, 0.0
training, 53, 5.773983887263706, -0.7087046046342168, 0.0
validating, 53, 4.828186511993408, -0.6855730444192887, 0.0
testing, 53, 6.106007289886475, -0.7352288752794266, 0.0
training, 54, 5.787356642314366, -0.7090394649122442, 0.0
validating, 54, 4.8430938720703125, -0.6843829900026321, 0.0
testing, 54, 6.1111386775970455, -0.731428212672472, 0.0
training, 55, 5.796044792447772, -0.7075010178344591, 0.0
validating, 55, 4.864580917358398, -0.6846753105521202, 0.0
testing, 55, 6.116646432876587, -0.7262818858027458, 0.0
training, 56, 5.7981506415775845, -0.7081907453281538, 0.0
validating, 56, 4.857024192810059, -0.686087828874588, 0.0
testing, 56, 6.102331733703613, -0.7295580357313156, 0.0
training, 57, 5.782549047470093, -0.7076375124709947, 0.0
validating, 57, 4.830533790588379, -0.6907038047909737, 0.0
testing, 57, 6.1006550073623655, -0.7459239654242993, 0.0
training, 58, 5.7774040971483505, -0.7100321646247592, 0.0
validating, 58, 4.828497219085693, -0.6913374558091163, 0.0
testing, 58, 6.110918998718262, -0.7513745628297329, 0.0
training, 59, 5.765584557397025, -0.7090170710214547, 0.0
validating, 59, 4.801570129394531, -0.6848759666085243, 0.0
testing, 59, 6.082586145401001, -0.7376047745347023, 0.0
training, 60, 5.753054012571062, -0.7110965611679213, 0.0
validating, 60, 4.785549068450928, -0.6850513845682145, 0.0
testing, 60, 6.111140346527099, -0.7427024498581887, 0.0
training, 61, 5.746454695292882, -0.7171705102281911, 0.0
validating, 61, 4.777043628692627, -0.6848747462034226, 0.0
testing, 61, 6.1221846580505375, -0.7472420483827591, 0.0
training, 62, 5.753003999165126, -0.7111974111625127, 0.0
validating, 62, 4.793493175506592, -0.6817833006381988, 0.0
testing, 62, 6.07042510509491, -0.7301409915089607, 0.0
training, 63, 5.761834648677281, -0.7098736695945262, 0.0
validating, 63, 4.828035736083985, -0.6861240118741989, 0.0
testing, 63, 6.061408829689026, -0.7298897758126259, 0.0
training, 64, 5.764180830546787, -0.7108949616551399, 0.0
validating, 64, 4.822629737854004, -0.6864200517535209, 0.0
testing, 64, 6.0638916969299315, -0.7339395254850387, 0.0
