mode, epoch, average loss, defender utility,
training,-1,0,-4.376869195,-4.04630518
validating,-1,0,-4.288231707,-4.928310394
testing,-1,0,-4.144244862,-4.320652008
training,0,2.629137421,-4.909543664,-4.871423244
validating,0,2.80893507,-4.977388954,-4.820633888
testing,0,2.605722499,-4.860085249,-4.575600147
training,1,2.544810929,-4.855462279,-4.748701096
validating,1,2.417359972,-4.750669765,-4.981492043
testing,1,2.228211021,-4.654603243,-4.679624081
training,2,1.581208706,-4.429016406,-4.217811108
validating,2,1.309138536,-4.534510326,-4.84514904
testing,2,1.182021654,-4.314980745,-3.883266926
training,3,1.172834975,-4.380066722,-4.453087807
validating,3,1.472658873,-4.507816792,-5.575182915
testing,3,1.326268196,-4.297037268,-4.398821831
training,4,1.344226905,-4.318627916,-4.269680977
validating,4,1.311879253,-4.479980278,-3.855178118
testing,4,1.172403109,-4.244095135,-4.561131477
training,5,1.168460175,-4.257783338,-4.641613007
validating,5,1.205923223,-4.446503067,-4.646274567
testing,5,1.066916883,-4.18630712,-4.553719044
training,6,1.211225847,-4.240212434,-4.153037548
validating,6,1.257404852,-4.36788969,-3.839378357
testing,6,1.104815495,-4.151217937,-4.382459641
training,7,1.178358984,-4.221443387,-4.580121994
validating,7,1.236649108,-4.370241737,-4.96271801
testing,7,1.083094764,-4.151656461,-4.151068211
training,8,1.212124947,-4.219525984,-3.972044706
validating,8,1.395150757,-4.349963856,-4.546741962
testing,8,1.224013579,-4.223686218,-3.303162098
training,9,1.247789904,-4.216162648,-4.170532703
validating,9,1.26705184,-4.330783987,-4.95913744
testing,9,1.104351103,-4.169260287,-4.132751942
training,10,1.224845542,-4.208593709,-4.483607769
validating,10,1.159203243,-4.341927195,-4.325211048
testing,10,1.004690206,-4.143921518,-4.370417595
training,11,1.157288183,-4.189715767,-3.943678856
validating,11,1.244179344,-4.299038172,-4.238162518
testing,11,1.080231428,-4.160340309,-4.077191353
training,12,1.142979271,-4.186330625,-4.594145775
validating,12,1.250558424,-4.214865971,-3.649979115
testing,12,1.084462214,-4.140587854,-4.303186893
training,13,1.197969001,-4.181653506,-4.381080627
validating,13,1.253337193,-4.209923077,-5.318282604
testing,13,1.087017524,-4.140193915,-4.134130001
training,14,1.183210339,-4.177582175,-3.597970724
validating,14,1.23232131,-4.213384533,-4.125771523
testing,14,1.067907882,-4.135598588,-4.238148689
training,15,1.160916652,-4.174208294,-4.476602554
validating,15,1.224034452,-4.213805628,-4.809002876
testing,15,1.060458863,-4.134199834,-3.427075148
training,16,1.161484531,-4.172389943,-3.855248213
validating,16,1.21643815,-4.214232588,-3.535958767
testing,16,1.053382218,-4.131388831,-3.639856815
training,17,1.153837677,-4.170654467,-4.063238621
validating,17,1.213403416,-4.212688971,-4.727156639
testing,17,1.050645876,-4.131387067,-4.474931717
training,18,1.149795481,-4.169042812,-4.265211105
validating,18,1.212977982,-4.212026501,-4.903073788
testing,18,1.050247586,-4.129821777,-4.388298512
training,19,1.147977059,-4.163795941,-4.153386593
validating,19,1.20746963,-4.210735607,-4.940311432
testing,19,1.045009422,-4.128012156,-4.269906521
mode, epoch, average loss, defender utility,
training,-1,0,-2.580744757,-2.249904156
validating,-1,0,-2.539374495,-2.488562346
testing,-1,0,-2.575354791,-2.834682941
training,0,1.601575071,-2.549884326,-2.533680439
validating,0,2.302769136,-2.559566784,-2.730294704
testing,0,1.411454415,-2.562132692,-2.433357
training,1,1.599907851,-2.549360405,-2.52468586
validating,1,2.295663214,-2.557709169,-2.574894428
testing,1,1.404047418,-2.561603212,-2.712439537
training,2,1.554377825,-2.536770609,-2.540248871
validating,2,2.183680725,-2.534112358,-2.417146206
testing,2,1.287582326,-2.527731156,-2.518543959
training,3,1.374853948,-2.505590425,-2.514177322
validating,3,1.970994759,-2.507274723,-2.571526527
testing,3,1.099994981,-2.505278492,-2.520270109
