Random seed, 38, training time, 125.13590812683105, optimization time, 6525.483604192734
Random seed, 45, training time, 127.69779133796692, optimization time, 6698.923038244247
Random seed, 50, training time, 132.22048687934875, optimization time, 6919.964053153992
Random seed, 33, training time, 143.8073377609253, optimization time, 7114.143677473068
Random seed, 43, training time, 131.25097465515137, optimization time, 7201.278091669083
Random seed, 37, training time, 119.58937335014343, optimization time, 7382.077660083771
Random seed, 7, training time, 130.32403564453125, optimization time, 7441.877267599106
Random seed, 25, training time, 127.23691296577454, optimization time, 7598.846761226654
Random seed, 8, training time, 128.23065543174744, optimization time, 7671.014500617981
Random seed, 46, training time, 131.96068024635315, optimization time, 7552.848963022232
Random seed, 30, training time, 142.4090723991394, optimization time, 7667.615283727646
Random seed, 42, training time, 124.84539937973022, optimization time, 7694.043904781342
Random seed, 3, training time, 125.9083080291748, optimization time, 7898.4647397994995
Random seed, 18, training time, 113.062833070755, optimization time, 7862.133345365524
Random seed, 34, training time, 109.76712822914124, optimization time, 7946.437673091888
Random seed, 31, training time, 128.1762499809265, optimization time, 7991.679547071457
Random seed, 11, training time, 138.237149477005, optimization time, 7981.170769929886
Random seed, 4, training time, 128.8262541294098, optimization time, 8005.648193359375
Random seed, 49, training time, 126.63343787193298, optimization time, 8016.105058670044
Random seed, 2, training time, 124.32428646087646, optimization time, 8146.71378493309
Random seed, 26, training time, 118.91482067108154, optimization time, 8071.472387313843
Random seed, 48, training time, 150.30739736557007, optimization time, 8105.376436471939
Random seed, 12, training time, 115.63306474685669, optimization time, 8179.6189506053925
Random seed, 19, training time, 125.68419694900513, optimization time, 8243.485590457916
Random seed, 14, training time, 143.8040852546692, optimization time, 8140.400430202484
Random seed, 5, training time, 159.4466290473938, optimization time, 8153.783237934113
Random seed, 44, training time, 144.17666220664978, optimization time, 8305.66608762741
Random seed, 29, training time, 129.15585660934448, optimization time, 8270.373607635498
Random seed, 41, training time, 118.04260873794556, optimization time, 8340.322149515152
